frequency,raw
19.50,72.30
19.80,72.30
20.10,72.40
20.30,72.40
20.60,72.50
20.90,72.70
21.20,72.80
21.60,73.00
21.90,73.20
22.20,73.20
22.50,73.10
22.80,73.00
23.20,72.90
23.50,72.80
23.80,72.80
24.20,72.80
24.50,72.80
24.90,72.80
25.30,72.90
25.60,73.10
26.00,73.20
26.40,73.20
26.80,73.20
27.20,73.20
27.50,73.10
28.00,73.10
28.40,73.10
28.80,73.10
29.20,73.20
29.60,73.20
30.00,73.30
30.50,73.40
30.90,73.40
31.40,73.40
31.80,73.30
32.30,73.30
32.80,73.30
33.20,73.30
33.70,73.30
34.20,73.30
34.70,73.30
35.20,73.30
35.70,73.30
36.20,73.20
36.80,73.30
37.30,73.40
37.90,73.50
38.40,73.70
39.00,73.80
39.50,73.70
40.10,73.50
40.70,73.40
41.30,73.20
41.90,73.10
42.50,73.30
43.10,73.60
43.70,73.80
44.40,73.80
45.00,73.70
45.70,73.60
46.30,73.30
47.00,73.20
47.70,73.30
48.40,73.30
49.10,73.20
49.80,73.20
50.50,73.20
51.30,73.10
52.00,72.90
52.80,72.80
53.50,73.00
54.30,73.00
55.10,72.70
55.90,72.50
56.70,72.50
57.50,72.60
58.40,72.80
59.20,73.00
60.10,73.10
61.00,73.10
61.80,73.00
62.70,72.90
63.70,72.80
64.60,72.80
65.50,72.90
66.50,72.80
67.40,72.90
68.40,73.10
69.40,72.90
70.40,72.70
71.50,72.60
72.50,72.30
73.50,72.00
74.60,71.90
75.70,71.90
76.80,72.10
77.90,72.10
79.10,72.00
80.20,71.90
81.40,72.00
82.60,71.90
83.80,71.60
85.00,71.40
86.20,71.50
87.50,71.60
88.70,71.50
90.00,71.20
91.30,70.90
92.70,71.20
94.00,71.40
95.40,71.20
96.80,71.50
98.20,71.60
99.60,71.40
101.00,71.30
103.00,71.10
104.00,71.00
106.00,71.30
107.00,71.40
109.00,71.20
110.00,71.20
112.00,71.20
113.00,71.00
115.00,70.80
117.00,70.90
118.00,70.90
120.00,71.20
122.00,71.40
124.00,71.00
125.00,70.30
127.00,70.10
129.00,70.10
131.00,70.10
133.00,70.10
135.00,70.00
137.00,69.90
139.00,70.00
141.00,70.20
143.00,70.40
145.00,70.30
147.00,70.20
149.00,70.20
151.00,70.50
154.00,70.50
156.00,70.10
158.00,70.00
160.00,69.60
163.00,69.70
165.00,69.70
168.00,69.30
170.00,69.00
172.00,69.00
175.00,69.10
177.00,69.20
180.00,69.10
183.00,68.70
185.00,68.80
188.00,68.90
191.00,68.90
194.00,68.80
196.00,68.70
199.00,68.90
202.00,68.90
205.00,68.70
208.00,68.60
211.00,68.90
214.00,69.10
217.00,68.60
220.00,68.10
224.00,68.10
227.00,68.10
230.00,67.80
234.00,68.30
237.00,68.40
240.00,68.40
244.00,68.30
247.00,68.30
251.00,68.50
255.00,68.80
258.00,68.50
262.00,68.40
266.00,68.50
270.00,68.50
274.00,68.40
278.00,68.00
282.00,67.70
286.00,67.70
290.00,67.80
294.00,68.00
298.00,68.00
303.00,67.80
307.00,67.90
312.00,67.90
316.00,67.90
321.00,67.80
325.00,67.70
330.00,67.60
335.00,67.70
340.00,67.50
345.00,67.30
350.00,67.30
355.00,67.40
360.00,67.10
365.00,67.30
371.00,67.40
376.00,67.70
382.00,67.60
387.00,67.40
393.00,67.40
398.00,67.30
404.00,67.30
410.00,67.50
416.00,67.60
422.00,67.60
428.00,67.50
434.00,67.60
441.00,67.40
447.00,67.10
454.00,67.00
460.00,67.10
467.00,67.10
474.00,67.00
481.00,66.90
488.00,66.90
495.00,67.10
502.00,67.00
509.00,67.20
517.00,67.50
524.00,67.60
532.00,67.40
540.00,67.10
547.00,67.20
555.00,67.50
563.00,67.50
572.00,67.50
580.00,67.50
588.00,67.50
597.00,67.30
606.00,67.20
614.00,67.20
623.00,67.20
632.00,67.20
642.00,67.40
651.00,67.40
660.00,67.20
670.00,67.10
680.00,66.90
690.00,66.90
700.00,67.20
710.00,67.30
720.00,67.20
731.00,67.30
741.00,67.40
752.00,67.30
763.00,67.20
774.00,67.10
785.00,67.10
797.00,67.40
808.00,67.50
820.00,67.40
832.00,67.30
844.00,67.50
856.00,67.60
869.00,67.60
882.00,67.40
894.00,67.40
907.00,67.40
921.00,67.70
934.00,67.90
948.00,67.80
961.00,67.80
975.00,67.70
990.00,67.60
1004.00,67.40
1019.00,67.50
1033.00,67.70
1048.00,67.90
1064.00,68.00
1079.00,68.10
1095.00,68.10
1111.00,68.10
1127.00,68.20
1143.00,68.20
1160.00,68.30
1177.00,68.70
1194.00,68.90
1211.00,68.80
1229.00,68.60
1247.00,68.70
1265.00,68.50
1283.00,68.70
1302.00,68.80
1321.00,68.80
1340.00,68.70
1360.00,68.90
1379.00,68.90
1399.00,69.10
1420.00,69.20
1440.00,69.10
1461.00,69.20
1483.00,69.20
1504.00,69.30
1526.00,69.40
1548.00,69.40
1571.00,69.30
1594.00,69.20
1617.00,69.30
1640.00,69.20
1664.00,69.10
1688.00,69.10
1713.00,69.00
1738.00,68.90
1763.00,69.10
1789.00,69.20
1815.00,69.10
1841.00,69.10
1868.00,69.10
1895.00,69.10
1923.00,68.90
1951.00,69.00
1979.00,68.90
2008.00,68.80
2037.00,68.80
2067.00,68.70
2097.00,68.80
2127.00,68.80
2158.00,68.80
2190.00,68.90
2221.00,68.80
2254.00,68.70
2287.00,68.80
2320.00,68.90
2354.00,68.80
2388.00,68.70
2423.00,68.70
2458.00,68.60
2494.00,68.60
2530.00,68.50
2567.00,68.60
2604.00,68.70
2642.00,68.70
2680.00,68.70
2719.00,68.70
2759.00,68.70
2799.00,68.40
2840.00,68.40
2881.00,68.40
2923.00,68.40
2965.00,68.50
3008.00,68.40
3052.00,68.30
3097.00,68.40
